
REQUESTS
server,500,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
cherrypy,1988.79,1851.81,1492.07,1851.04,1894.8,1896.25,1959.13,1877.0,1066.23,1879.65,1909.64
gunicorn,1241.29,1332.18,1273.64,1345.37,1292.96,1358.41,1329.18,1341.99,1323.37,1293.82,1288.51
meinheld,6884.24,6401.08,7132.4,6811.47,6721.28,6949.19,6711.8,6793.95,6288.38,6860.84,6785.95
uwsgi,1928.2,1789.93,1909.02,1864.62,2001.17,1881.94,1988.27,1863.73,1466.33,1771.94,1878.55

LATENCIES
server,500,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
cherrypy,4.62,5.38,6.52,5.36,5.2,5.24,4.87,5.24,9.22,5.27,4.67
gunicorn,399.07,737.97,781.4,743.95,773.15,736.78,751.76,741.02,755.22,770.82,772.87
meinheld,72.96,156.88,144.39,147.3,149.09,144.5,148.88,146.82,159.29,144.59,146.79
uwsgi,54.96,67.24,50.07,52.0,46.69,48.83,53.41,51.37,60.68,53.05,52.77

ERRORS
server,500,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
cherrypy,0,0,983,1983,2983,3983,4983,5983,6983,7983,8983
gunicorn,0,0,983,1983,2983,3983,4983,5983,6983,7983,8983
meinheld,0,238,1055,2189,3147,4102,5091,6131,7075,8171,9124
uwsgi,58187,54174,58689,58650,63384,61053,65383,62562,51452,61725,66001
